,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
0,0,پراید,1 ساعت پیش,1393,126000,SE,تهران / قیطریه,211000000.0,/images/default-images/default-car-white.svg
1,1,چانگان,1 ساعت پیش,1398,66000,اتوماتیک,لواسان,835000000.0,/images/default-images/default-car-white.svg
2,2,کیا,1 ساعت پیش,1389,200000,دنده ای,کرج / مشکین‌دشت,258000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/fa2a5304-97ff-4307-aef2-f211870afcd9/CarImage_638375878457971453_thumb_900_600.jpg?width=270
3,3,ساینا,2 ساعت پیش,1402,0,دنده ای بنزینی,کرج / محمدشهر,360000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d5fe7c30-e4c0-442b-ac6a-8abcf712353a/CarImage_638375847737149813_thumb_900_600.jpg?width=270
4,4,تیبا,,1396,80000,EX,تهران / اتحاد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/1d71eccd-5321-4998-acfc-8ef20309d84a/CarImage_638375429691581490_thumb_900_600.jpg?width=270
5,5,چانگان,,1396,750000,اتوماتیک,مشهد / دانشجو,680000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/36a1517c-0ae4-4438-9697-e6324cd2af87/CarImage_638375425147757892_thumb_900_600.jpg?width=270
6,6,شاهین,,1400,38500,دنده ای,هشتگرد / چهارباغ کمالشهر,525000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e41e1b7b-f94f-4beb-adc6-ef675feac5d7/CarImage_638375061040184151_thumb_900_600.jpg?width=270
7,7,شاهین,1 ساعت پیش,1402,0,دنده ای,تهران / پیروزی,582500000.0,/images/default-images/default-car-white.svg
8,8,ساینا,1 ساعت پیش,1399,20178,دنده ای بنزینی,تهران / نظام‌آباد,,/images/default-images/default-car-white.svg
9,9,تیبا,1 ساعت پیش,1399,25000,EX,تهران / خاوران,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/5cc23e6f-0b1f-4163-95bf-d5e676abcae9/CarImage_638375880529085593_thumb_900_600.jpg?width=270
10,10,کوییک,1 ساعت پیش,1402,0,دنده ای,کرمانشاه,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/7cf74f20-90c5-47b7-8b35-8dc3d7875e8b/CarImage_638375868982522279_thumb_900_600.png?width=270
11,11,کوییک,2 ساعت پیش,1402,0,دنده ای,مراغه,350000000.0,/images/default-images/default-car-white.svg
12,12,پراید,2 ساعت پیش,1387,260000,دنده ای,قزوین,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d0bd53a9-9143-4c4a-9a92-4c324c1a262c/CarImage_638375861190386202_thumb_900_600.jpg?width=270
13,13,تیبا,2 ساعت پیش,1400,90000,SX بنزینی,رباط کریم,295000000.0,/images/default-images/default-car-white.svg
